#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
495,"<a href=""http://objectivenhl.blogspot.com/2009/12/shot-recording-bias-florida-and-new.html"" target=""_blank"">Shot Recording Bias: Florida and New Jersey</a>",http://objectivenhl.blogspot.com/2009/12/shot-recording-bias-florida-and-new.html,Shot Recording Bias: Florida and New Jersey,Tore Purdy,2009,Measures,Shot Quality,Objective NHL,,
496,"<a href=""http://objectivenhl.blogspot.com/2009/03/in-previous-posts-it-was-shown-how-some.html"" target=""_blank"">Home Recording Bias: Shots on Goal</a>",http://objectivenhl.blogspot.com/2009/03/in-previous-posts-it-was-shown-how-some.html,Home Recording Bias: Shots on Goal,Tore Purdy,2009,Measures,Shot Quality,Objective NHL,,
497,"<a href=""http://objectivenhl.blogspot.com/2009/07/zone-shift.html"" target=""_blank"">Zone Shift</a>",http://objectivenhl.blogspot.com/2009/07/zone-shift.html,Zone Shift,Tore Purdy,2009,Measures,Zone Entries / Exits / Starts,Objective NHL,,
498,"<a href=""http://objectivenhl.blogspot.com/2010/03/shot-recording-bias-part-n.html"" target=""_blank"">Shot Recording Bias: part n</a>",http://objectivenhl.blogspot.com/2010/03/shot-recording-bias-part-n.html,Shot Recording Bias: part n,Tore Purdy,2010,Measures,Shot Quality,Objective NHL,,
499,"<a href=""http://objectivenhl.blogspot.com/2011/03/loose-ends-part-i-predictive-validity.html"" target=""_blank"">Loose Ends - Part 1: Predicting Future Success</a>",http://objectivenhl.blogspot.com/2011/03/loose-ends-part-i-predictive-validity.html,Loose Ends - Part 1: Predicting Future Success,Tore Purdy,2011,Measures,"Corsi, Fenwick",Objective NHL,,
500,"<a href=""http://objectivenhl.blogspot.ca/2011/03/loose-ends-part-ii-score-effects-and.html"" target=""_blank"">Loose Ends - Part 2: Score Effects and Minor Penalties</a>",http://objectivenhl.blogspot.ca/2011/03/loose-ends-part-ii-score-effects-and.html,Loose Ends - Part 2: Score Effects and Minor Penalties,Tore Purdy,2011,Measures,"Corsi, Fenwick",Objective NHL,,
501,"<a href=""http://objectivenhl.blogspot.com/2011/02/shots-fenwick-and-corsi.html"" target=""_blank"">Shots, Fenwick, and Corsi</a>",http://objectivenhl.blogspot.com/2011/02/shots-fenwick-and-corsi.html,"Shots, Fenwick, and Corsi",Tore Purdy,2011,Measures,"Corsi, Fenwick",Objective NHL,,
502,"<a href=""https://www.dropbox.com/s/uiww4ud86abkuj6/Bayesian_Goaltending_Mehta.pdf?dl=0"" target=""_blank"">Martin Brodeur, Goaltender, and Bayesian Inference</a>",https://www.dropbox.com/s/uiww4ud86abkuj6/Bayesian_Goaltending_Mehta.pdf?dl=0,"Martin Brodeur, Goaltender, and Bayesian Inference",Sunny Mehta,2010,Evaluation,"Bayesian, Goaltending, ERCS%",PDF,,
503,"<a href=""chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/https://arxiv.org/pdf/1412.1035.pdf"" target=""_blank"">Accounting for Rink Effects in the National Hockey League's Real Time Scoring System</a>",https://arxiv.org/pdf/1412.1035.pdf,Accounting for Rink Effects in the National Hockey League's Real Time Scoring System,Michael Schuckers,2014,Evaluation,"Rink Bias, Recording Bias, Rink Effects",PDF,,
504,"<a href=""chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/http://www.hockeyanalytics.com/Research_files/SQ-DistAdj-RS0809-Krzywicki.pdf"" target=""_blank"">Removing Observer Bias from Shot Distance</a>",http://www.hockeyanalytics.com/Research_files/SQ-DistAdj-RS0809-Krzywicki.pdf,Removing Observer Bias from Shot Distance,Ken Krzywicki,2009,Evaluation,"Recording Bias, Observer Bias, Shot Distance",PDF,,
505,"<a href=""http://people.math.sfu.ca/~tim/papers/goalie.pdf"" target=""_blank"">Strategies for Pulling the Goalie in Hockey</a>",http://people.math.sfu.ca/,Strategies for Pulling the Goalie in Hockey,David Beaudoin,2010,Evaluation,"Strategy, Goalies",Simon Fraser University,,
506,"<a href=""http://people.math.sfu.ca/~tim/papers/hca.pdf"" target=""_blank"">Strategies for Pulling the Goalie in Hockey</a>",http://people.math.sfu.ca/,Strategies for Pulling the Goalie in Hockey,Tim Swartz,2012,Measures,Home Ice Advantage,Simon Fraser University,,
507,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2012/02/NHL-Expected-Goals-Brian-Macdonald.pdf"" target=""_blank"">An Expected Goals Model for Evaluation NHL Teams and Players</a>",http://www.sloansportsconference.com/wp-content/uploads/2012/02/NHL-Expected-Goals-Brian-Macdonald.pdf,An Expected Goals Model for Evaluation NHL Teams and Players,Brian Macdonald,2012,Measures,"Expected Goals, Shot Quality",Sloan Sports Conference,,
508,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2019/02/Do-Coaches-Matter.pdf"" target=""_blank"">How Much Do Coaches Matter</a>",http://www.sloansportsconference.com/wp-content/uploads/2019/02/Do-Coaches-Matter.pdf,How Much Do Coaches Matter,Christopher Berry,2019,Evaluation,"Coaching, Coaches",Sloan Sports Conference,,
509,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2013/Using%20Zone%20Entry%20Data%20To%20Separate%20Offensive,%20Neutral,%20And%20Defensive%20Zone%20Performance.pdf"" target=""_blank"">Using Zone Entry Data To Separate Offensive, Neutral, And Defensive Zone Performance</a>","http://www.sloansportsconference.com/wp-content/uploads/2013/Using%20Zone%20Entry%20Data%20To%20Separate%20Offensive,%20Neutral,%20And%20Defensive%20Zone%20Performance.pdf",,Eric Tulsky,2013,Measures,Zone Entries / Exits / Starts,Sloan Sports Conference,,
510,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2011/08/DIGR-A-Defense-Independent-Rating-of-NHL-Goaltenders-using-Spatially-Smoothed-Save-Percentage-Maps.pdf"" target=""_blank"">A Defense Independent Rating of NHL Goaltenders using Spatially Smoothed Save Percentage Maps</a>",http://www.sloansportsconference.com/wp-content/uploads/2011/08/DIGR-A-Defense-Independent-Rating-of-NHL-Goaltenders-using-Spatially-Smoothed-Save-Percentage-Maps.pdf,A Defense Independent Rating of NHL Goaltenders using Spatially Smoothed Save Percentage Maps,Michael Schuckers,2011,Evaluation,Goalies,Sloan Sports Conference,,
511,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2013/Total%20Hockey%20Rating%20(THoR)%20A%20comprehensive%20statistical%20rating%20of%20National%20Hockey%20League%20forwards%20and%20defensemen%20based%20upon%20all%20on-ice%20events.pdf"" target=""_blank"">Total Hockey Rating (THoR): A Comprehensive Statistical Rating of National Hockey League Forwards and Defensemen based upon all On-Ice Events</a>",http://www.sloansportsconference.com/wp-content/uploads/2013/Total%20Hockey%20Rating%20(THoR)%20A%20comprehensive%20statistical%20rating%20of%20National%20Hockey%20League%20forwards%20and%20defensemen%20based%20upon%20all%20on-ice%20events.pdf,Total Hockey Rating (THoR): A Comprehensive Statistical Rating of National Hockey League Forwards and Defensemen based upon all On-Ice Events,Michael Schuckers,2013,Evaluation,Skaters,Sloan Sports Conference,,
512,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2019/02/Sloan_2019_Faceoffs2.pdf"" target=""_blank"">Winning Isn't Everything - A Contextual Analysis of Hockey Faceoffs</a>",http://www.sloansportsconference.com/wp-content/uploads/2019/02/Sloan_2019_Faceoffs2.pdf,Winning Isn't Everything - A Contextual Analysis of Hockey Faceoffs,Nick Czuzoj-Shulman,2019,Evaluation,Faceoffs,Sloan Sports Conference,,
513,"<a href=""http://www.sloansportsconference.com/wp-content/uploads/2017/02/1614.pdf"" target=""_blank"">Evaluating Defensive Ability in Hockey Using Passing Data</a>",http://www.sloansportsconference.com/wp-content/uploads/2017/02/1614.pdf,Evaluating Defensive Ability in Hockey Using Passing Data,Ryan Stimson,2017,Evaluation,"Passing, Skaters",Sloan Sports Conference,,
514,"<a href=""chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/http://www.sloansportsconference.com/wp-content/uploads/2015/02/SSAC15-RP-Finalist-Assessing-the-offensive-productivity-of-NHL-players2.pdf"" target=""_blank"">Assessing The Offensive Productivity Of NHL Players Using In-Game Win Probabilities""</a>",http://www.sloansportsconference.com/wp-content/uploads/2015/02/SSAC15-RP-Finalist-Assessing-the-offensive-productivity-of-NHL-players2.pdf,"Assessing The Offensive Productivity Of NHL Players Using In-Game Win Probabilities""",Stephen Pettigrew,2015,Evaluation,"Win Probability, Added Goal Value, Poisson Distribution",Sloan Sports Conference,,
515,"<a href=""http://statsportsconsulting.com/main/wp-content/uploads/FaceoffAnalysis12-12.pdf"" target=""_blank"">An Analysis of NHL Faceoffs</a>",http://statsportsconsulting.com/main/wp-content/uploads/FaceoffAnalysis12-12.pdf,An Analysis of NHL Faceoffs,Michael Schuckers,2012,Evaluation,Faceoffs,Stats Sports Consulting,,
516,"<a href=""http://statsportsconsulting.com/main/wp-content/uploads/Schuckers_Macdonald_RinkEffects_Final.pdf"" target=""_blank"">Accounting for Rink Effects in the National Hockey League’s Real Time Scoring System</a>",http://statsportsconsulting.com/main/wp-content/uploads/Schuckers_Macdonald_RinkEffects_Final.pdf,Accounting for Rink Effects in the National Hockey League’s Real Time Scoring System,Michael Schuckers,2014,Measures,Corsi / Fenwick,Stats Sports Consulting,,
517,"<a href=""https://ruor.uottawa.ca/bitstream/10393/31553/3/Weissbock_Joshua_2014_thesis.pdf"" target=""_blank"">Forecasting Success in the National Hockey League using In-Game Statistics and Textual Data</a>",https://ruor.uottawa.ca/bitstream/10393/31553/3/Weissbock_Joshua_2014_thesis.pdf,Forecasting Success in the National Hockey League using In-Game Statistics and Textual Data,Josh Weissbock,2014,Evaluation,"Models, Analytics",University of Ottawa,,
518,"<a href=""https://poseidon01.ssrn.com/delivery.php?ID=588125096113082098108006107105098121035031077054017013065115021077027109102086026081118107106002104019004114027075022096103122006086087059083004010085066012091018060032111104123069116098110071008017064021091010074101118003073090087123022001085071&EXT=pdf"" target=""_blank"">Pulling the Goalie: Hockey and Investment Implications</a>",https://poseidon01.ssrn.com/delivery.php?ID=588125096113082098108006107105098121035031077054017013065115021077027109102086026081118107106002104019004114027075022096103122006086087059083004010085066012091018060032111104123069116098110071008017064021091010074101118003073090087123022001085071&EXT=pdf,Pulling the Goalie: Hockey and Investment Implications,Clifford Asness,2018,Evaluation,"Goalies, Pulling the Goalie",,,
519,"<a href =""https://www.allaboutthejersey.com/2018/1/17/16895564/devils-players-in-all-three-zone-data"" target=""_blank"">Devils Skaters’ Performance in All Three Zone Data</a>",https://www.allaboutthejersey.com/2018/1/17/16895564/devils-players-in-all-three-zone-data,Devils Skaters’ Performance in All Three Zone Data,CJ Turtoro,2017,Evaluation,"All Three Zones, Projects, Skaters, Zone Entries, Zone Exits",All About the Jersey,,
520,"<a href=""https://www.allaboutthejersey.com/2018/1/10/16866162/high-danger-scoring-chances-an-analysis-of-the-devilish-statistic"" target=""_blank"">High Danger Scoring Chances - An Analysis of the Devilish Statistic</a>",https://www.allaboutthejersey.com/2018/1/10/16866162/high-danger-scoring-chances-an-analysis-of-the-devilish-statistic,High Danger Scoring Chances - An Analysis of the Devilish Statistic,CJ Turtoro,2018,Evaluation,"Corsi, Goals, High Danger Scoring Chances, Shot Quality",All About the Jersey,,
521,"<a href=""http://www.allaboutthejersey.com/2017/2/24/14628838/forecheck-piece"" target=""_blank"">An Aggressive Forecheck is Best</a>",http://www.allaboutthejersey.com/2017/2/24/14628838/forecheck-piece,An Aggressive Forecheck is Best,Ryan Stimson,2017,Measures,Forecheck,All About the Jersey,,
522,"<a href=""http://www.allaboutthejersey.com/2017/2/27/14667642/breakout-piece"" target=""_blank"">How much support does a good breakout need?</a>",http://www.allaboutthejersey.com/2017/2/27/14667642/breakout-piece,How much support does a good breakout need?,Ryan Stimson,2017,Measures,Breakouts,All About the Jersey,,
523,"<a href=""https://www.arcticicehockey.com/2011/11/15/2557365/expected-shots-for-and-shots-against-at-different-zone-starts"" target=""_blank"">Expected Shots-For and Shots-Against at Different Zone Starts</a>",https://www.arcticicehockey.com/2011/11/15/2557365/expected-shots-for-and-shots-against-at-different-zone-starts,Expected Shots-For and Shots-Against at Different Zone Starts,Bettman's Nightmare,2011,Measures,Zone Entries / Exits / Starts,Arctic Ice Hockey,,
524,"<a href=""https://www.arcticicehockey.com/2011/7/7/2264529/does-qualcomp-matter"" target=""_blank"">Does QualComp Matter?</a>",https://www.arcticicehockey.com/2011/7/7/2264529/does-qualcomp-matter,Does QualComp Matter?,Dirk Hoag,2011,Measures,Quality of Competition / Teammates,Arctic Ice Hockey,,
525,"<a href=""https://www.arcticicehockey.com/2011/12/14/2636414/a-back-door-attempt-at-the-shot-quality-prize?_ga=2.27801596.1170442699.1500856546-215757335.1499699072"" target=""_blank"">A back-door attempt at the shot quality prize</a>",https://www.arcticicehockey.com/2011/12/14/2636414/a-back-door-attempt-at-the-shot-quality-prize?_ga=2.27801596.1170442699.1500856546-215757335.1499699072,A back-door attempt at the shot quality prize,Eric Tulsky,2011,Measures,"Shot Quality, Skaters",Arctic Ice Hockey,,
526,"<a href=""https://www.arcticicehockey.com/2009/10/10/1079378/even-strength-goaltender-shot"" target=""_blank"">Even-Strength Goaltender Shot Quality Since the Lockout</a>",https://www.arcticicehockey.com/2009/10/10/1079378/even-strength-goaltender-shot,Even-Strength Goaltender Shot Quality Since the Lockout,Gabe Desjardins,2009,Evaluation,"Goalies, Shot Quality",Arctic Ice Hockey,,
527,"<a href=""https://www.arcticicehockey.com/2009/07/khl-nhl-equivalency-with-toi.html"" target=""_blank"">KHL-->NHL Equivalency with TOI</a>",https://www.arcticicehockey.com/2009/07/khl-nhl-equivalency-with-toi.html,KHL-->NHL Equivalency with TOI,Gabe Desjardins,2009,Evaluation,"Free Agency, KHL, Prospects",Arctic Ice Hockey,,
528,"<a href=""https://www.arcticicehockey.com/2010/1/15/1252520/slight-statistical-improvement"" target=""_blank"">Slight Statistical Improvement: Corsi Qualcomp</a>",https://www.arcticicehockey.com/2010/1/15/1252520/slight-statistical-improvement,Slight Statistical Improvement: Corsi Qualcomp,Gabe Desjardins,2010,Measures,Quality of Competition / Teammates,Arctic Ice Hockey,,
529,"<a href=""https://www.arcticicehockey.com/2010/4/13/1416623/corsi-and-score-effects"" target=""_blank"">Corsi and Score Effects</a>",https://www.arcticicehockey.com/2010/4/13/1416623/corsi-and-score-effects,Corsi and Score Effects,Gabe Desjardins,2010,Measures,Corsi / Fenwick,Arctic Ice Hockey,,
530,"<a href=""https://www.arcticicehockey.com/2010/4/20/1429278/fooled-by-randomness-goaltender"" target=""_blank"">Fooled by Randomness: Goaltender Save Percentage</a>",https://www.arcticicehockey.com/2010/4/20/1429278/fooled-by-randomness-goaltender,Fooled by Randomness: Goaltender Save Percentage,Gabe Desjardins,2010,Evaluation,Goalies,Arctic Ice Hockey,,
531,"<a href=""https://www.arcticicehockey.com/2010/3/8/1312090/are-expensive-goaltenders-worth"" target=""_blank"">Are Expensive Goaltenders Worth the Money?</a>",https://www.arcticicehockey.com/2010/3/8/1312090/are-expensive-goaltenders-worth,Are Expensive Goaltenders Worth the Money?,Gabe Desjardins,2010,Evaluation,"Free Agency, Goalies",Arctic Ice Hockey,,
532,"<a href=""https://www.arcticicehockey.com/2010/7/7/1556692/goaltender-salary-per-win-2000-01"" target=""_blank"">Goaltender Salary per Win 2000-01 to 2009-10</a>",https://www.arcticicehockey.com/2010/7/7/1556692/goaltender-salary-per-win-2000-01,Goaltender Salary per Win 2000-01 to 2009-10,Gabe Desjardins,2010,Evaluation,"Free Agency, Goalies",Arctic Ice Hockey,,
533,"<a href=""https://www.arcticicehockey.com/2010/4/28/1448993/goaltender-save-percentage-by-age"" target=""_blank"">Goaltender Save Percentage by Age</a>",https://www.arcticicehockey.com/2010/4/28/1448993/goaltender-save-percentage-by-age,Goaltender Save Percentage by Age,Gabe Desjardins,2010,Evaluation,"Aging Curves, Goalies",Arctic Ice Hockey,,
534,"<a href=""https://www.arcticicehockey.com/2010/3/5/1312360/is-it-possible-to-determine"" target=""_blank"">Is It Possible to Determine Goaltender True Talent on the PK></a>",https://www.arcticicehockey.com/2010/3/5/1312360/is-it-possible-to-determine,Is It Possible to Determine Goaltender True Talent on the PK>,Gabe Desjardins,2010,Evaluation,"Goalies, Penalty Kill",Arctic Ice Hockey,,
535,"<a href=""https://www.arcticicehockey.com/2010/9/7/1669012/how-good-is-your-power-play"" target=""_blank"">How Good is Your Power-Play?</a>",https://www.arcticicehockey.com/2010/9/7/1669012/how-good-is-your-power-play,How Good is Your Power-Play?,Gabe Desjardins,2010,Measures,Powerplay,Arctic Ice Hockey,,
536,"<a href=""https://www.arcticicehockey.com/2010/5/31/1494523/changing-goalies-shuffling-the"" target=""_blank"">Changing Goalies = Shuffling the Deck Chairs?</a>",https://www.arcticicehockey.com/2010/5/31/1494523/changing-goalies-shuffling-the,Changing Goalies = Shuffling the Deck Chairs?,Gabe Desjardins,2010,Evaluation,Goalies,Arctic Ice Hockey,,
